lambda_physics_value,loss_train_total,loss_train_total_err,loss_train_data,loss_train_data_err,loss_train_physics,loss_train_physics_err,loss_train_P,loss_train_P_err,loss_train_I,loss_train_I_err,loss_train_ne,loss_train_ne_err,loss_val,loss_val_err,loss_val_physics,loss_val_physics_err,loss_val_P,loss_val_P_err,loss_val_I,loss_val_I_err,loss_val_ne,loss_val_ne_err
[0.333 0.333 0.333],1.45744148282074892e+00,3.87058951814609822e-02,2.19546514132498392e-02,1.21595884244654119e-03,1.45741952816933606e+00,3.87059310946519172e-02,5.38556102588800156e-01,1.14904651017174800e-02,3.79577537946059618e+00,1.13944602926914204e-01,4.23037376783398228e-02,2.25193824338291212e-03,2.95253828071208660e-02,1.68083513013840211e-03,1.14419062128070848e+00,6.95255855921984023e-02,5.72883438684536062e-01,1.22623266651573134e-02,2.82040091309708618e+00,2.03181433670272527e-01,4.27235199322172285e-02,2.25088533575961954e-03
[0.3333 0.3333 0.3333],1.43938833104472375e+00,3.35374994605057708e-02,2.72808746385656831e-02,1.29773239253236361e-03,1.43938560295726026e+00,3.35374964150572386e-02,4.93046768935240354e-01,1.29650319228473421e-02,3.79178298065875641e+00,1.00195715037035699e-01,3.37589181445569833e-02,2.39877920670844352e-03,3.61639185821233319e-02,1.76872268541587154e-03,1.10071827247592013e+00,5.10531734222230346e-02,5.25972561266646155e-01,1.50896397073880962e-02,2.74270898921903372e+00,1.48830799540785735e-01,3.38035154486739792e-02,2.27212440481309660e-03
[0.33333 0.33333 0.33333],1.40569618973179122e+00,3.72315858013018627e-02,3.22096012551059824e-02,1.39833727481311924e-03,1.40569586763577847e+00,3.72315878929261462e-02,4.61786577833568912e-01,1.18184010744591863e-02,3.72703409090006943e+00,1.09707080646257504e-01,2.83091054714391561e-02,2.07016243975650764e-03,4.20465986450925949e-02,1.80860362412581461e-03,1.19427038702799448e+00,3.23745775873595029e-02,4.95815820005857333e-01,1.32364203580311365e-02,3.05864540184806488e+00,9.53114118898063661e-02,2.83857676999564705e-02,2.04046600507114175e-03
[0.333333 0.333333 0.333333],1.46024861156660579e+00,3.80884905769038815e-02,5.02846133545858526e-02,1.94651613223856637e-03,1.46024856128199221e+00,3.80884900553000935e-02,3.83813891415562825e-01,1.04210482063147331e-02,3.98233019281457334e+00,1.15365843727306086e-01,1.46059803659058657e-02,1.66725772382403533e-03,6.35922825294439054e-02,2.29086182935837835e-03,1.37156945158004318e+00,5.33003769408980782e-02,4.11929003616550493e-01,1.00311906940386362e-02,3.68805491824061216e+00,1.59533767905200963e-01,1.47285475954362956e-02,1.55394951975507557e-03
[0.3333333 0.3333333 0.3333333],2.06412703200155523e+00,8.53477198493149680e-02,9.91681583142959566e-02,1.33741441646596077e-03,2.06412702208473942e+00,8.53477197659338466e-02,3.26887789950735641e-01,2.02038683222233737e-03,5.86242184716340198e+00,2.56255905236262682e-01,3.07204837824780847e-03,2.53964543282617756e-04,1.18692903976990394e-01,1.49366604040279249e-03,2.17377720323800716e+00,1.05607876036047349e-01,3.52568993075706882e-01,1.64251491201989415e-03,6.16555439615363987e+00,3.16604928964544619e-01,3.20887261790156388e-03,2.93189970007048440e-04
[0.33333333 0.33333333 0.33333333],9.79503527413975945e+01,7.96669469275426323e+00,3.51584186944759569e-01,1.43059870748827953e-02,9.79503527378817580e+01,7.96669469262461316e+00,4.92252274786743105e-01,2.51803296361838881e-02,2.93356923499447134e+02,2.38845502202094906e+01,1.88537792202527507e-03,2.64713639387445738e-04,3.71245866824774451e-01,1.40272336204887733e-02,1.00141311038202375e+02,8.02741172061851138e+00,4.87357342235090307e-01,2.09031723490192174e-02,2.99934676458399679e+02,2.40672991077305660e+01,1.90231821177228944e-03,2.66366813443685922e-04
[0.33333333 0.33333333 0.33333333],1.23435191974815481e+02,6.61129642028269071e+00,4.08132092273975566e-01,8.40263306769416414e-03,1.23435191974407346e+02,6.61129642027636599e+00,5.29119841435291227e-01,2.32036345880207058e-02,3.69774553862717426e+02,1.98280508058852085e+01,1.90258937484523265e-03,2.79347446613780566e-04,4.27929619136846462e-01,8.14249197923868663e-03,1.24969856246168504e+02,6.36917289590301561e+00,5.22041453189213245e-01,1.90717728121119270e-02,3.74385611235609645e+02,1.90999898968035211e+01,1.91642461624716648e-03,2.93409636666162996e-04
[0.33333333 0.33333333 0.33333333],1.23705019351177000e+02,6.61308905248783052e+00,4.08536086624070649e-01,8.41306377993579491e-03,1.23705019351136087e+02,6.61308905248719459e+00,5.29256325266100780e-01,2.32020385413665396e-02,3.70583897417079811e+02,1.98333996431072705e+01,1.90434817397727415e-03,2.79852523595385070e-04,4.28347423140215511e-01,8.15284275219236437e-03,1.25104003805151621e+02,6.37536006053144622e+00,5.21986268415149612e-01,1.90809796850569258e-02,3.74788108602988871e+02,1.91185254440089061e+01,1.91658158202194571e-03,2.94381070919308213e-04
[0.33333333 0.33333333 0.33333333],1.23721476385533975e+02,6.61366219917623610e+00,4.08572765431417406e-01,8.41413369428880252e-03,1.23721476385529883e+02,6.61366219917617126e+00,5.29286574373660779e-01,2.32039591379778407e-02,3.70633238156898926e+02,1.98351232232459544e+01,1.90442902873241208e-03,2.79876169839250982e-04,4.28388674878336650e-01,8.15409691790739723e-03,1.25122753943976093e+02,6.37573724513961881e+00,5.22016962421837261e-01,1.90826324889060324e-02,3.74844328263939985e+02,1.91196599747379565e+01,1.91660932022404010e-03,2.94409046521515731e-04
[0.33333333 0.33333333 0.33333333],1.23723363979668619e+02,6.61365511520465699e+00,4.08576532129781067e-01,8.41420287752126829e-03,1.23723363979668193e+02,6.61365511520464988e+00,5.29289181207422743e-01,2.32041465851484420e-02,3.70638898342726634e+02,1.98351023584089710e+01,1.90441544172505715e-03,2.79874555131350282e-04,4.28392886635615533e-01,8.15419623661052008e-03,1.25124966426755876e+02,6.37572379023324221e+00,5.22019421722208388e-01,1.90827411547137109e-02,3.74850963264740244e+02,1.91196198894219336e+01,1.91659418059271676e-03,2.94405817250562713e-04
